,artist,song_name
0,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",we don't talk about bruno
1,nicki minaj x lil baby,do we have a problem?
2,adele,easy on me
3,glass animals,heat waves
4,the kid laroi & justin bieber,stay
5,kodak black,super gremlin
6,gayle,abcdefu
7,ed sheeran,shivers
8,justin bieber,ghost
9,jessica darrow,surface pressure
10,gunna & future featuring young thug,pushin p
11,lil nas x,thats what i want
12,doja cat,need to know
13,elton john & dua lipa,cold heart (pnau remix)
14,ed sheeran,bad habits
15,lil nas x & jack harlow,industry baby
16,dua lipa,levitating
17,the weeknd & ariana grande,save your tears
18,muni long,hrs and hrs
19,"stephanie beatriz, olga merediz & encanto cast",the family madrigal
20,post malone & the weeknd,one right now
21,silk sonic (bruno mars & anderson .paak),smokin out the window
22,adele,oh my god
23,sza,i hate u
24,olivia rodrigo,good 4 u
25,ckay,love nwantiti (ah ah ah)
26,drake featuring 21 savage & project pat,knife talk
27,latto,big energy
28,doja cat,woman
29,chris stapleton,you should probably leave
30,imagine dragons x jid,enemy
31,neiked x mae muller x polo g,better days
32,diane guerrero & stephanie beatriz,what else can i do?
33,lauren spencer-smith,fingers crossed
34,jordan davis featuring luke bryan,buy dirt
35,walker hayes,fancy like
36,doja cat & the weeknd,you right
37,morgan wallen,sand in my boots
38,the anxiety: willow & tyler cole,meet me at our spot
39,king von & 21 savage,don't play that
40,sebastian yatra,dos oruguitas
41,wizkid featuring justin bieber & tems,essence
42,juice wrld,cigarettes
43,doja cat featuring sza,kiss me more
44,jimmie allen & brad paisley,freedom was a highway
45,the weeknd,sacrifice
46,cody johnson,'til you can't
47,parker mccollum,to be loved by you
48,charlie puth,light switch
49,dustin lynch featuring lauren alaina or mackenzie porter,thinking 'bout you
50,kane brown,one mississippi
51,tate mcrae,she's all i wanna be
52,stephanie beatriz,waiting on a miracle
53,kelsea ballerini featuring kenny chesney,half of my hometown
54,gunna featuring drake,p power
55,eric church,heart on fire
56,"dierks bentley, breland & hardy",beers on me
57,sam hunt,23
58,walker hayes,aa
59,lil durk featuring morgan wallen,broadway girls
60,blxst & tyga featuring ty dolla $ign,chosen
61,luke combs,doin' this
62,gucci mane featuring lil durk,rumors
63,"nardo wick featuring g herbo, lil durk & 21 savage",who want smoke??
64,giveon,for tonight
65,ari lennox,pressure
66,cole swindell / lainey wilson,never say never
67,taylor swift,message in a bottle (taylor's version) (from the vault)
68,"nardo wick, lil baby & future",me or sum
69,acraze featuring cherish,do it to it
70,"stephanie beatriz, olga merediz, john leguizamo, adassa, maluma & encanto cast",all of you
71,moneybagg yo,scorpio
72,yg featuring j. cole & moneybagg yo,scared money
73,michael ray,whiskey and rain
74,the walters,i love you so
75,rod wave,cold december
76,machine gun kelly & willow,emo girl
77,red hot chili peppers,black summer
78,rod wave,by your side
79,fireboy dml & ed sheeran,peru
80,yung bleu & kehlani,beautiful lies
81,the chainsmokers,high
82,maren morris,circles around this town
83,taylor swift,all too well (taylor's version)
84,miranda lambert,if i was a cowboy
85,doja cat,get into it (yuh)
86,$not & a$ap rocky,doja
87,queen naija & big sean,hate our love
88,blake shelton,come back as a country boy
89,carly pearce & ashley mcbryde,never wanted to be that girl
90,em beihold,numb little bug
91,gunna & future,too easy
92,tiesto & ava max,the motto
93,russell dickerson,home sweet
94,ernest featuring morgan wallen,flower shops
95,chris brown,iffy
96,alesso / katy perry,when i'm gone
97,drake featuring travis scott,fair trade
98,megan thee stallion,megan's piano
99,swedish house mafia & the weeknd,moth to a flame
